Date,Open,High,Low,Close,Adj Close,Volume,Returns
2010-01-04,3952.2099609375,4013.969970703125,3950.610107421875,4013.969970703125,4013.969970703125,113396000,
2010-01-05,4012.429931640625,4028.340087890625,3993.330078125,4012.909912109375,4012.909912109375,129518600,-0.026409230798607464
2010-01-06,4014.449951171875,4022.93994140625,3996.800048828125,4017.669921875,4017.669921875,110087000,0.11861740905922957
2010-01-07,4005.9599609375,4032.239990234375,3983.89990234375,4024.800048828125,4024.800048828125,118430400,0.17746920707208957
2010-01-08,4042.639892578125,4051.409912109375,4013.340087890625,4045.139892578125,4045.139892578125,131783200,0.5053628379855013
2010-01-11,4071.39990234375,4088.179931640625,4039.330078125,4043.090087890625,4043.090087890625,110068800,-0.05067327068862815
2010-01-12,4044.18994140625,4049.47998046875,3980.199951171875,4000.050048828125,4000.050048828125,124775800,-1.0645332685365716
2010-01-13,3979.93994140625,4007.860107421875,3979.14990234375,4000.860107421875,4000.860107421875,117700800,0.020251211456390195
2010-01-14,4029.199951171875,4029.7099609375,3993.5,4015.77001953125,4015.77001953125,108974600,0.37266766917734007
2010-01-15,4030.93994140625,4044.080078125,3949.89990234375,3954.3798828125,3954.3798828125,162295200,-1.5287264066460637
2010-01-18,3971.169921875,3982.7900390625,3954.280029296875,3977.4599609375,3977.4599609375,86949800,0.5836585965176555
2010-01-19,3968.72998046875,4019.8798828125,3930.909912109375,4009.669921875,4009.669921875,115690200,0.809812323790382
2010-01-20,3996.360107421875,4013.47998046875,3915.9599609375,3928.949951171875,3928.949951171875,143524600,-2.013132558935893
2010-01-21,3955.780029296875,3966.199951171875,3862.159912109375,3862.159912109375,3862.159912109375,112341400,-1.6999462933494192
2010-01-22,3840.06005859375,3859.64990234375,3786.2900390625,3820.780029296875,3820.780029296875,170381000,-1.0714181637782039
2010-01-25,3793.6298828125,3833.43994140625,3780.5,3781.85009765625,3781.85009765625,131374000,-1.0189001026523092
2010-01-26,3748.030029296875,3807.47998046875,3741.360107421875,3807.0400390625,3807.0400390625,141543200,0.6660745602228069
2010-01-27,3769.659912109375,3793.6298828125,3737.2900390625,3759.800048828125,3759.800048828125,136321600,-1.2408587708472862
2010-01-28,3812.18994140625,3812.18994140625,3688.7900390625,3688.7900390625,3688.7900390625,168079800,-1.888664525863759
2010-01-29,3712.02001953125,3768.389892578125,3696.0,3739.4599609375,3739.4599609375,149875800,1.3736190278771598
2010-02-01,3713.169921875,3774.360107421875,3702.010009765625,3762.010009765625,3762.010009765625,119833200,0.6030295567724497
2010-02-02,3766.830078125,3819.070068359375,3737.719970703125,3812.1298828125,3812.1298828125,134752600,1.3322631496665682
2010-02-03,3819.77001953125,3831.3798828125,3784.320068359375,3793.469970703125,3793.469970703125,124554600,-0.48948783706205257
2010-02-04,3792.419921875,3806.2099609375,3685.570068359375,3689.25,3689.25,175687000,-2.7473519365650234
2010-02-05,3665.909912109375,3673.7099609375,3563.760009765625,3563.760009765625,3563.760009765625,263299600,-3.4015041061021933
2010-02-08,3595.3798828125,3616.669921875,3545.909912109375,3607.27001953125,3607.27001953125,169862000,1.2209017904234898
